tipo;Bedrock_1M;BordeCarb_;Cont_IgnCa;Faults_Euc;LitoContac;x;y;Gravity Fu;Magnetics;Potasio Ra;Thorio_Mer;Uranio_Mer
1;0;2884.44092;2884.44092;1400;447.21359;744377.0549;7521480.539;4;3;3;2;2
1;0;1612.45154;1649.24231;2785.67773;721.11023;718326.2019;7533387.873;2;3;2;2;2
1;0;1000;1077.03296;3124.09985;800;753951.9063;7515605.009;4;3;3;1;2
1;200;400;400;2778.48877;200;755567.9411;7514427.18;4;3;2;2;2
1;0;1000;1019.80389;2400;721.11023;719265;7538000;2;3;2;2;2
1;0;200;200;1400;200;720174.9977;7537262.138;2;3;3;1;2
1;0;2000;2000;2000;1000;723568.7857;7536156.495;2;3;2;2;2
1;0;282.84271;400;1456.02197;282.84271;720628.9547;7540767.046;3;3;2;2;2
1;0;0;0;5635.60107;721.11023;817520.8942;7497664.502;6;3;1;1;1
1;0;0;0;8246.21094;200;674044.8706;7533251.019;1;3;1;1;1
1;0;848.52814;848.52814;4560.70166;0;676777;7514680;2;3;2;3;2
1;0;0;0;5768.88184;200;683824.8979;7544636.379;2;3;2;2;2
1;0;0;0;1131.37085;0;685220.1322;7534205.816;1;3;2;2;2
1;0;2280.35083;2280.35083;3162.27759;200;690251.0372;7531801.939;2;3;1;1;1
1;0;721.11023;824.62115;824.62115;0;690404.1387;7527725.519;2;5;4;3;2
1;0;0;0;2973.21387;447.21359;693098.0202;7516612.18;2;3;4;3;3
1;0;0;0;17456.23047;0;700950.8847;7554608.505;4;3;1;1;1
1;0;0;0;14312.23242;0;706045.1442;7528938.742;3;3;3;2;1
1;200;0;0;10160.70898;0;698439.1172;7532579.214;2;5;3;2;2
1;0;0;0;9037.69922;200;712371.9387;7549058.337;3;3;2;1;2
1;0;0;0;8260.75098;282.84271;712448.1824;7531711.49;4;3;1;1;1
1;200;0;0;8772.68457;0;714779.9359;7522287.347;3;3;2;1;1
1;0;282.84271;400;4651.88135;282.84271;717070.1625;7526173.153;3;3;1;1;1
1;0;0;0;4176.12256;0;717269.9761;7527065.192;3;3;2;2;1
1;0;282.84271;1000;1341.64075;0;719842.9421;7528158.957;3;3;1;1;2
1;0;400;400;800;400;720864.8456;7537971.345;2;3;2;1;2
1;0;0;0;1843.90894;600;735061.9879;7534257.503;2;3;2;2;1
1;0;0;0;894.42719;447.21359;735029.1558;7532956.21;2;3;2;1;2
1;0;0;0;2561.24976;1414.21362;736260.8035;7534272.291;2;3;3;1;2
1;0;2884.44092;2884.44092;1400;447.21359;744377.0549;7521480.539;4;3;3;2;2
1;0;1000;1000;282.84271;200;745879.9948;7513601.478;4;3;2;1;1
1;2600;0;0;7964.92334;600;746023.1645;7491104.458;4;3;3;3;1
1;282.84271;0;0;7353.91064;0;761003.0742;7526975.507;2;5;1;1;2
1;0;0;0;2720.29419;0;764643.8009;7535343.535;4;3;1;1;1
1;0;0;0;3162.27759;0;765160.2528;7534098.527;5;3;1;1;1
1;0;721.11023;721.11023;4118.25195;721.11023;764520.9393;7533241.419;5;3;2;1;2
1;0;848.52814;894.42719;5110.77295;848.52814;764849.964;7530995.824;4;3;2;1;1
1;282.84271;282.84271;2262.7417;6122.09131;282.84271;767270.9198;7525577.876;4;3;1;1;2
1;0;2088.06128;2236.06787;2163.33081;200;751645.2368;7516174.614;3;3;2;2;2
1;0;1077.03296;1280.62488;2683.28149;400;753845.7833;7515304.377;4;3;2;1;1
1;0;0;0;7211.10254;0;742217.9556;7541348.918;3;3;1;1;1
1;0;0;0;6440.49707;0;743730.8141;7540369.28;3;3;2;2;1
1;0;400;600;8683.31738;400;767064.9586;7522226.472;5;3;1;1;2
1;0;282.84271;1612.45154;5656.85449;282.84271;768072.8522;7525387.694;5;3;1;1;1
1;0;894.42719;894.42719;3111.26978;894.42719;770254.0691;7526867.303;5;3;1;1;1
1;0;632.45551;632.45551;1280.62488;0;801167.8581;7502521.483;5;3;0;0;0
1;0;447.21359;447.21359;2561.24976;0;800556.92;7501064.358;5;3;1;1;1
1;721.11023;0;0;282.84271;282.84271;810567.9431;7494794.974;5;2;1;1;1
1;0;0;0;7068.23877;400;820165.746;7498113.473;6;3;2;2;1
1;0;0;0;1400;1414.21362;699631;7502480;4;3;3;2;1
1;0;0;0;600;1077.03296;694635.91;7574946.635;2;3;2;1;1
1;0;200;200;1280.62488;200;711124.088;7579536.856;3;3;1;1;1
1;0;2863.56421;2863.56421;4049.69141;200;730298.1649;7554542.277;3;5;2;1;1
1;0;0;0;5905.9292;200;741926.1554;7556043.005;2;3;4;4;1
1;1979.89905;0;0;1612.45154;1000;778907.025;7587722.455;2;3;4;2;1
1;0;800;1131.37085;13472.93555;800;790575.0122;7559528.438;5;3;2;1;1
1;0;0;0;11606.89453;0;792919.067;7556159.929;5;2;1;1;1
1;0;0;0;800;400;800242.3396;7578311.092;5;3;1;1;1
1;0;0;0;3847.0769;447.21359;690021.6634;7517944.63;1;3;4;3;3
1;0;0;0;0;824.62115;696570.114;7515166.499;2;5;2;1;2
0;282.84271;0;0;2126.02905;200;717566.4796;7570512.793;3;4;3;2;1
0;282.84271;0;0;5280.15137;282.84271;769474.6649;7542700.395;3;5;1;1;1
0;4560.70166;0;0;12924.39551;282.84271;761559.1825;7583546.149;2;5;3;1;2
0;5385.16504;0;0;6403.12402;3959.7981;807558.8357;7578079.731;6;5;1;1;1
0;8910.66797;0;0;2236.06787;2332.38086;813941.4761;7551016.107;5;4;0;0;0
0;565.68542;0;0;8627.8623;447.21359;793322.6021;7522371.35;4;5;0;0;0
0;3773.59253;0;0;4565.08496;1200;820227.2944;7513990.998;3;5;2;2;1
0;9610.41113;0;0;17988.88477;632.45551;818237.2161;7586500.776;6;5;1;1;1
0;6122.09131;0;0;2529.82202;1400;811358.0062;7522253.143;3;5;0;0;0
0;632.45551;0;0;565.68542;400;816610.6766;7515801.422;3;5;0;0;0
0;1600;0;0;11745.6377;1600;690000.9017;7545797.683;2;5;2;2;2
0;600;0;0;10400;400;698983.7579;7564887.364;3;5;1;1;1
0;6400;0;0;6200;1200;806222.2256;7587468.57;6;5;2;1;1
0;1649.24231;0;0;7823.04297;400;782590.7056;7531352.099;5;5;1;1;1
0;2785.67773;0;0;4242.64063;600;689742.3751;7580752.209;1;2;0;0;0
0;13792.75195;0;0;4841.4873;1800;817823.3468;7555920.596;6;4;3;1;1
0;824.62115;0;0;1019.80389;600;717416.3209;7587994.22;3;4;3;1;1
0;1456.02197;0;0;4651.88135;600;747612.9169;7566893.677;2;5;3;2;2
0;5374.01172;0;0;4525.4834;4103.65674;759563.958;7563384.095;2;5;2;1;1
0;3577.70874;0;0;3440.93018;3400;769182.0811;7508097.926;4;5;2;2;1
0;9245.53906;0;0;13916.89648;3600;814478.3496;7584325.69;6;5;1;1;1
0;3280.2439;0;0;10248.90234;1843.90894;805136.1567;7516326.048;4;4;0;0;0
0;2630.58936;0;0;7696.75244;400;773088.4829;7550154.045;3;5;1;1;1
0;3104.83496;0;0;16316.8623;282.84271;705892.5329;7543116.611;2;5;1;1;1
0;1800;0;0;6657.32666;1600;709067.2703;7567545.343;3;4;3;2;1
0;10816.6543;0;0;848.52814;1843.90894;815259.1064;7563690.76;6;4;3;1;1
0;1897.36658;0;0;12600;800;700243.1286;7587785.576;2;2;4;3;3
0;5600;0;0;4368.06592;3440.93018;814720.7247;7534886.229;4;4;0;0;0
0;2529.82202;0;0;447.21359;447.21359;745377.8929;7579249.929;2;2;3;1;1
0;3400;0;0;15681.83691;3200;716550.0522;7511514.835;2;5;2;2;1
0;600;0;0;4494.44092;400;717932.1304;7564059.153;2;5;3;2;1
0;1612.45154;0;0;9867.11719;1414.21362;818245.4214;7575313.663;6;5;2;1;1
0;3052.86743;0;0;4651.88135;3052.86743;770637.6659;7497434.557;5;5;0;0;0
0;6489.99219;0;0;1166.19043;200;811830.6254;7525921.375;3;2;0;0;0
0;1708.80078;0;0;6082.7627;1708.80078;792580.3634;7519634.614;4;5;0;0;0
0;447.21359;0;0;400;400;731723.9178;7497082.561;4;5;4;2;2
0;4638.96533;0;0;4600;600;804569.3556;7588121.089;6;5;1;1;1
0;2163.33081;0;0;6251.3999;2163.33081;783077.3427;7572821.483;3;2;1;1;2
0;824.62115;0;0;2690.72485;0;770907.8228;7573831.465;3;5;2;2;1
0;1800;0;0;8944.27148;600;773969.6995;7549499.504;3;5;2;1;1
0;3400;0;0;8121.57617;447.21359;798954.1985;7517477.52;4;5;0;0;0
0;1612.45154;0;0;6403.12402;1000;753829.5263;7558352.757;3;5;1;1;1
0;11371.89551;0;0;447.21359;1979.89905;816649.2875;7562428.854;6;4;1;1;1
0;800;0;0;11400;600;722839.5277;7515090.654;4;5;1;1;1
0;2952.9646;0;0;5325.41064;1019.80389;796160.6514;7516025.688;4;5;0;0;0
0;848.52814;848.52814;0;4808.32617;282.84271;782322.9965;7514015.113;5;2;1;2;1
0;800;894.42719;1341.64075;3111.26978;800;786725.5532;7580433.799;4;4;1;1;1
0;6053.09814;0;0;5366.56299;5854.9126;760495.4676;7498564.17;4;4;0;0;0
0;282.84271;0;0;5632.05127;200;730876.5976;7549628.852;2;3;2;1;1
0;3492.84985;0;0;12459.53418;200;799824.7898;7525946.73;3;2;1;1;1
0;1341.64075;0;0;12857.68262;1077.03296;794102.9536;7540964.315;5;4;2;1;1
0;600;0;0;5366.56299;400;735428.8053;7579967.756;3;5;1;1;1
0;6053.09814;0;0;7155.41748;1019.80389;811957.3958;7572305.02;6;4;3;2;2
0;721.11023;0;0;16571.05859;565.68542;783073.6149;7543204.535;4;5;2;1;2
0;1414.21362;0;0;2828.42725;447.21359;770811.3827;7561266.348;3;2;1;1;1
0;5531.72656;0;0;5015.97461;632.45551;820039.382;7567386.84;6;4;3;1;1
0;1843.90894;1843.90894;0;1264.91101;1843.90894;751904.9233;7498721.715;4;2;0;0;0
0;565.68542;0;0;200;400;733912.6998;7506624.081;4;5;1;1;1
0;4418.14453;0;0;1166.19043;894.42719;809263.6257;7551606.513;5;4;1;1;1
0;721.11023;0;0;4079.21558;632.45551;800295.9893;7557826.37;5;5;1;1;1
